route,file,product_area,role,primary_user_job,feature_flag,auth,backend_endpoints_known,data_freshness_visible,mobile_treatment,density,disposition,notes
/,frontend/src/app/page.tsx → DecisionCommandCenter,Home,Triage / command center,"See what changed, what needs review, what is stale/blocked",none,public,"/overview, /regime, /ops, /recommendations/current, /paper/current, /activity",yes (DataFreshnessBadge),"Cards stack (decision queue, radar, portfolio)",default,Keep — extend to match Phase-5 target,Already partially answers the 4 decision-first questions; many panels (sector heatmap, shadow research) compete with the queue/radar.
/decision,frontend/src/app/decision/page.tsx,Decisions,Single-recommendation deep dive,"Read, challenge, defer, promote the current rec",none,public-ish (uses public seed),"/recommendations/current, /decision/stages, /evidence, /disagreement, /actions/*",yes (data_as_of label),Long vertical scroll; mobile vertical CTA stack,default,Redesign in Phase 7,"Singular route — no /decision/:id deep link. Risk gauges have hardcoded mock values mixed with backend-fed stages — flag for Phase-7 cleanup."
/comparison,frontend/src/app/comparison/page.tsx,Decisions (sub),Engine disagreement matrix,Inspect why engines disagree,none,public,"/comparison/current, /comparison/engines",partial,Stacked cards,default,Merge under /decision or Phase-7 Decisions hub,"Logically a child of Decision, currently a sibling in nav."
/replay,frontend/src/app/replay/page.tsx,Decisions (sub) / Forensics,Time-travel forensics,Reconstruct why a recommendation was made,replay flag,public,"/replay (list + detail)",yes (capturedAt per stage),Stacked stage cards,default,Keep — Phase-7 trim,"Heavy raw JSON in stage cards; needs progressive disclosure."
/backtests,frontend/src/app/backtests/page.tsx,Research / Ops (research),Backtest registry,Inspect saved backtests with equity curves + drawdown,backtests flag,public,"/backtests (list + detail)",partial,Stacked cards,default,Keep — Phase-6/10 placement TBD,"Lives under Workspaces in nav; semantically belongs to Research/Ops."
/paper,frontend/src/app/paper/page.tsx,Portfolio & Risk,Paper portfolio summary,Inspect holdings, drift, currency, performance,paper_trading flag,public,"/paper/current, /paper/performance, /paper/valuations",yes (data_as_of),Holdings as cards on mobile,default,Keep — Phase-8 anchor,Will be the seed page for the Portfolio & Risk product area.
/admin,frontend/src/app/admin/page.tsx,Ops & Governance / Research lab,Research lab (pipeline canvas + kanban + wizard + publication queue),Operator/research workflows,research_lane flag,public,"/pipeline, /publication, /ml-ops, /model-validation, /rl-*",partial,"Desktop-only gate; mobile shows opt-in",default,Keep — confine to Ops & Governance,Already has an explicit desktop-only fallback. Should not appear under Workspaces.
/operator,frontend/src/app/operator/page.tsx,Ops & Governance / Operator,Operator console (analyst notes + LLM context capture),Save GPT/Claude analyses against rec/replay/news,operator_console flag,authenticated,"/operator/analyses (CRUD)",no,Stacked,default,Keep — surface under Ops & Governance,"Not currently in sidebar — only reachable via deep links from /decision, /replay, /news."
/ops,frontend/src/app/ops/page.tsx,Ops & Governance,Ops command center,"Queue, feeds, engines, breaches, incidents, audit",ops_ui flag,public,"/ops (composite), /ops_jobs, /ops_users",partial,Stacked panels,default,Keep — Phase-10 anchor,Already a dense ops surface — Phase 10 should add progressive disclosure rather than expand it.
/policies,frontend/src/app/policies/page.tsx,Ops & Governance,Policy editor + breaches + history,Audit and change policy rules,policy_ui flag,authenticated,"/policies, /policies/breaches, /policies/history",no,Stacked rules,default,Keep — Phase-10,Drawer pattern already present for history.
/integrations,frontend/src/app/integrations/page.tsx,Ops & Governance / Data,Data-source health & coverage,Check upstream data integrations,integrations_ui flag,public,"/integrations, /integrations/health",partial,Stacked cards,default,Keep — Phase-10,Will merge with Ops health view.
/universe,frontend/src/app/universe/page.tsx,Research / Universe,Universe browser,Inspect coverage, readiness, sector breakdown,universe_ui flag,public,"/universes, /universes/{id}, /coverage, /readiness, /sectors",no,Stacked list + detail,default,Move into Research,Belongs in the new Research product area.
/risk,frontend/src/app/risk/page.tsx,Portfolio & Risk,Risk workspace (VaR, concentration, drawdown),Inspect paper-portfolio risk,risk_ui flag,public,"/risk/current",no,KPI grid + stacked,default,Keep — Phase-8 anchor,"VaR & concentration cards already present; needs scenario stress + correlation cluster modules in Phase 8."
/news,frontend/src/app/news/page.tsx,Insights,News intelligence (RSS + sentiment),Scan headlines by sentiment,news_ui flag,public,"/news (force refresh supported)",partial,Stacked items,default,Redesign — Phase 9,"Currently raw RSS feed; needs decision-linking (Phase 9 ""why this matters"")."
/onboarding,frontend/src/app/onboarding/page.tsx,Onboarding,8-step investor profile wizard,Build investor profile,none,authenticated,"/profile/questions, /profile (POST)",n/a,Stacked stepper,default,Keep — Phase-4 polish only,Will plug into the new top-level navigation but content stays as-is.
/profile,frontend/src/app/profile/page.tsx,Account,Investor profile view + edit,View/edit profile,none,authenticated,"/profile (GET/POST), /profile/run-pipeline",no,Stacked,default,Move to Settings or Account in Phase-2,"Profile is being treated like a workspace; semantically belongs to user account."
/templates,frontend/src/app/templates/page.tsx,Decisions / Templates,Recommendation templates,Apply a seed template to profile,none,authenticated,"/templates, /templates/apply",no,Card grid,default,Move under Decisions or Research,Currently a sibling to Decisions in nav.
/help/[[...slug]],frontend/src/app/help/[[...slug]]/page.tsx,Help,Help center (MDX-driven),Read tutorials/reference docs,none,public,(filesystem MDX),n/a,Full-page MDX,default,Keep,Accessible from TopBar; no integration in side nav.
/feedback,frontend/src/app/feedback/page.tsx,Beta,Beta-tester feedback form,Submit feedback during beta,none,authenticated,"/feedback (POST), /feedback/me",n/a,Stacked,default,Keep — Phase-4 minor polish,Lives under Operations in nav.
/login,frontend/src/app/login/page.tsx,Auth,Login,Sign in,none,public,"/auth/* (login, google)",n/a,Stacked,default,Keep,
/login/google-finish,frontend/src/app/login/google-finish/page.tsx,Auth,OAuth callback,Complete Google OAuth,none,public,"/auth/google/*",n/a,Stacked,default,Keep,
/signup,frontend/src/app/signup/page.tsx,Auth,Signup,Create account,none,public,"/auth/signup",n/a,Stacked,default,Keep,
